barangay,barangay_link,population_percentage,population_2015,population_2020,census_date,household_population_2015,number_of_households_2015,average_household_size_2015
Alicia,https://www.philatlas.com/luzon/ncr/quezon-city/alicia.html,0.21%,"6,527","6,119",2015Aug1,"6,527","1,567",4.17
Amihan,https://www.philatlas.com/luzon/ncr/quezon-city/amihan.html,0.12%,"4,788","3,513",2015Aug1,"4,788","1,153",4.15
Apolonio Samson,https://www.philatlas.com/luzon/ncr/quezon-city/apolonio-samson.html,1.14%,"38,583","33,629",2015Aug1,"38,514","8,992",4.28
Aurora,https://www.philatlas.com/luzon/ncr/quezon-city/aurora.html,0.14%,"5,636","4,221",2015Aug1,"5,636","1,286",4.38
Baesa,https://www.philatlas.com/luzon/ncr/quezon-city/baesa.html,1.87%,"61,278","55,328",2015Aug1,"61,244","13,965",4.39
Bagbag,https://www.philatlas.com/luzon/ncr/quezon-city/bagbag.html,2.18%,"56,936","64,653",2015Aug1,"55,746","13,731",4.06
Bagong Lipunan ng Crame,https://www.philatlas.com/luzon/ncr/quezon-city/bagong-lipunan-ng-crame.html,0.46%,"14,996","13,630",2015Aug1,"14,834","4,011",3.70
Bagong Pag-asa,https://www.philatlas.com/luzon/ncr/quezon-city/bagong-pag-asa.html,0.99%,"32,267","29,389",2015Aug1,"32,267","8,996",3.59
Bagong Silangan,https://www.philatlas.com/luzon/ncr/quezon-city/bagong-silangan.html,3.61%,"88,299","106,886",2015Aug1,"88,287","19,852",4.45
Bagumbayan,https://www.philatlas.com/luzon/ncr/quezon-city/bagumbayan.html,0.75%,"13,832","22,147",2015Aug1,"13,832","4,641",2.98
Bagumbuhay,https://www.philatlas.com/luzon/ncr/quezon-city/bagumbuhay.html,0.23%,"6,767","6,681",2015Aug1,"6,650","1,637",4.06
Bahay Toro,https://www.philatlas.com/luzon/ncr/quezon-city/bahay-toro.html,2.01%,"70,774","59,639",2015Aug1,"70,605","16,425",4.30
Balingasa,https://www.philatlas.com/luzon/ncr/quezon-city/balingasa.html,0.65%,"20,609","19,260",2015Aug1,"20,595","5,057",4.07
Balong Bato,https://www.philatlas.com/luzon/ncr/quezon-city/balong-bato.html,0.24%,"8,228","6,991",2015Aug1,"8,228","1,922",4.28
Batasan Hills,https://www.philatlas.com/luzon/ncr/quezon-city/batasan-hills.html,5.63%,"161,409","166,572",2015Aug1,"161,352","34,587",4.67
Bayanihan,https://www.philatlas.com/luzon/ncr/quezon-city/bayanihan.html,0.02%,"1,222",613,2015Aug1,"1,222",349,3.50
Blue Ridge A,https://www.philatlas.com/luzon/ncr/quezon-city/blue-ridge-a.html,0.05%,"1,730","1,534",2015Aug1,"1,730",335,5.16
